Gemeentecode;Wijkcode;Regionaam;Gemiddeld persoonlijk inkomen
;WK074307;Asten buitengebied west;29
;WK074308;Heusden wonen;26.1
;WK074309;Heusden recreatie;.
;WK074310;Ommel wonen;27.1
;WK074311;Ommel recreatie;21.8
GM0744;Totaal;Baarle-Nassau;26.6
;WK074401;Baarle-Nassau;26.4
;WK074402;Ulicoten;27.5
;WK074403;Castelré;26.4
GM0748;Totaal;Bergen op Zoom;27
;WK074800;Wijk 00 Bergen op Zoom-Oude stad e.o.;27.8
;WK074801;Wijk 01 Bergen op Zoom-Noord;27.7
;WK074802;Wijk 02 Bergen op Zoom-Oost;22.2
;WK074803;Wijk 03 Bergen op Zoom-West;32.5
;WK074804;Wijk 04 Halsteren;28.9
;WK074805;Wijk 05 Lepelstraat;26.7
GM0753;Totaal;Best;30
;WK075300;Wijk 00 Best;30
GM0755;Totaal;Boekel;26.1
;WK075500;Wijk 00 Boekel;26.1
;WK075501;Wijk 01 Venhorst;25.8
GM0757;Totaal;Boxtel;27.5
;WK075700;Wijk 00 Boxtel;26.7
;WK075701;Wijk 01 Lennisheuvel;29.9
;WK075702;Wijk 02 Liempde;29.4
;WK075730;Esch;28.9
;WK075731;Verspr huizen Esch;37.5
GM0758;Totaal;Breda;29.6
;WK075800;Breda centrum;31.2
;WK075801;Breda noord;23
;WK075802;Breda oost;30.2
;WK075803;Breda zuid-oost;34.2
;WK075804;Breda zuid;37.6
;WK075805;Breda west;26.6
;WK075806;Breda noord-west;28.1
;WK075807;Bavel;34.8
;WK075808;Ulvenhout;35.2
;WK075809;Prinsenbeek;31.7
;WK075810;Teteringen;33
GM0762;Totaal;Deurne;26.4
;WK076200;Wijk 00 Deurne;26.4
;WK076201;Wijk 01 Vlierden;29.3
;WK076202;Wijk 02 Liessel;25.4
;WK076203;Wijk 03 Neerkant;25.5
;WK076204;Wijk 04 Helenaveen;27.8
GM0765;Totaal;Pekela;21.8
;WK076500;Wijk 00;21.3
;WK076501;Wijk 01;22.6
GM0766;Totaal;Dongen;27.7
;WK076601;Dongen;27.4
;WK076602;'s Gravenmoer;31.1
GM0770;Totaal;Eersel;29.9
;WK077000;Eersel;29.3
;WK077001;Duizel;29.3
;WK077002;Steensel;30.6
;WK077003;Vessem;31
;WK077004;Wintelre;29
;WK077005;Knegsel;33.4
GM0772;Totaal;Eindhoven;28.5
;WK077211;Centrum;35.8
;WK077221;Oud-Stratum;33.5
;WK077222;Kortonjo;33.1
;WK077223;Putten;28.2
;WK077231;De Laak;33.6
;WK077232;Doornakkers;23.8
;WK077233;Oud-Tongelre;28.9
;WK077241;Oud-Woensel;24.7
;WK077242;Erp;23.7
;WK077243;Begijnenbroek;26.8
;WK077251;Ontginning;24.4
;WK077252;Achtse Molen;30.8
;WK077253;Aanschot;28.9
;WK077254;Dommelbeemd;25.2
;WK077261;Oud-Strijp;31.9
;WK077262;Halve Maan;26.1
;WK077263;Meerhoven;33.5
;WK077271;Rozenknopje;31.6
;WK077272;Oud-Gestel;23.7
;WK077273;Gestelse Ontginning;28.8
GM0777;Totaal;Etten-Leur;27.4
;WK077700;Midden woongebied;26.2
;WK077701;Midden Bedrijventerrein;.
;WK077702;Midden landelijk gebied;39.3
;WK077710;Noord woongebied;28
;WK077711;Noord bedrijventerrein;.
;WK077712;Noord landelijk gebied;32.2
;WK077720;Zuid woongebied;26.6
;WK077721;Zuid bedrijventerrein West;32.9
;WK077722;Zuid bedrijventerrein Oost;.
;WK077723;Zuid landelijk gebied;31.4
GM0779;Totaal;Geertruidenberg;27.4
;WK077900;Wijk 00 Raamsdonksveer;27.2
;WK077901;Wijk 01 Raamsdonk;29.1
;WK077902;Wijk 02 Geertruidenberg;27.1
GM0784;Totaal;Gilze en Rijen;26.9
;WK078401;Rijen;26.5
;WK078402;Gilze;27.1
;WK078403;Hulten;35.6
;WK078404;Molenschot;29.1
GM0785;Totaal;Goirle;28.8
;WK078501;Wijk 01 Goirle-Centrum;27.7
;WK078502;Wijk 02 Grobbendonck;28.4
;WK078503;Wijk 03 De Groote Akkers;29.6
;WK078504;Wijk 04 De Hoge Wal;28.6
;WK078505;Wijk 05 Abcoven;27.6
;WK078506;Wijk 06 Wildackers;25.2
;WK078507;Wijk 07 't Ven;30.9
;WK078508;Wijk 08 De Boschkens;34.7
;WK078509;Wijk 09 De Hellen;28.9
;WK078510;Wijk 10 De Nieuwe Erven;32.2
;WK078511;Wijk 11 Hoogeind;23.3
;WK078512;Wijk 12 Sportpark Van den Wildenberg;.
;WK078513;Wijk 13 Bedrijventerrein Tijvoort;29.4
;WK078514;Wijk 14 Verspreide huizen Goirle;29.3
;WK078520;Wijk 20 Riel;29.5
;WK078521;Wijk 21 Bedrijventerrein Riel;36.1
;WK078522;Wijk 22 Sportpark De Krim;.
;WK078523;Wijk 23 Verspriede huizen Riel;29.6
GM0794;Totaal;Helmond;25.7
;WK079410;Wijk 10 Binnenstad;22.4
;WK079411;Wijk 11 Helmond-Oost;20.3
;WK079412;Wijk 12 Helmond-Noord;20.7
;WK079413;Wijk 13 't Hout;25.5
;WK079414;Wijk 14 Brouwhuis;25
;WK079415;Wijk 15 Helmond-West;21
;WK079416;Wijk 16 Warande;37
;WK079417;Wijk 17 Stiphout;33
;WK079418;Wijk 18 Rijpelberg;24.1
;WK079419;Wijk 19 Dierdonk;34.2
;WK079421;Wijk 21 Brandevoort;33
;WK079429;Wijk 29 Industriegebied Zuid;23.5
GM0796;Totaal;'s-Hertogenbosch;30
;WK079601;Binnenstad;36.9
;WK079602;Zuidoost;29.1
;WK079603;Graafsepoort;26.9
;WK079604;Muntel / Vliert;31.5
;WK079605;Rosmalen-Zuid;33.9
;WK079606;Rosmalen-Noord;30.1
;WK079607;De Groote Wielen;32.9
;WK079608;Empel;33
;WK079609;Noord;24.2
;WK079610;Maaspoort;30.5
;WK079611;West;27.3
;WK079612;Engelen;36.6
;WK079613;Nuland;29.2
;WK079614;Vinkel;28.4
GM0797;Totaal;Heusden;28.2
;WK079701;Wijk 01 Drunen;27.8
;WK079702;Wijk 02 Elshout;28.5
;WK079703;Wijk 03 Haarsteeg;29.3
;WK079704;Wijk 04 Nieuwkuijk;31.3
;WK079705;Wijk 05 Vlijmen;28.5
;WK079706;Wijk 06 Doeveren;.
;WK079707;Wijk 07 Hedikthuizen;32.3
;WK079708;Wijk 08 Heesbeen;30.2
;WK079709;Wijk 09 Herpt;32.1
;WK079710;Wijk 10 Heusden;31
;WK079711;Wijk 11 Oudheusden;22.9
GM0798;Totaal;Hilvarenbeek;29.2
;WK079800;Wijk 00 Hilvarenbeek;29.4
;WK079801;Wijk 01 Esbeek;29.8
;WK079802;Wijk 02 Biest-Houtakker;30.7
;WK079803;Wijk 03 Diessen;28.3
;WK079804;Wijk 04 Haghorst;29.3
GM0809;Totaal;Loon op Zand;27.4
;WK080910;Wijk 10 Kaatsheuvel-West;25.7
;WK080920;Wijk 20 Kaatsheuvel-Oost;28.1
;WK080930;Wijk 30 Loon op Zand;29.1
;WK080940;Wijk 40 De Moer;30.8
GM0820;Totaal;Nuenen, Gerwen en Nederwetten;32.2
;WK082000;Wijk 00 Nuenen;32.5
;WK082001;Wijk 01 Gerwen;29.9
;WK082002;Wijk 02 Nederwetten;31.8
GM0823;Totaal;Oirschot;29.6
;WK082300;Wijk 00 Oirschot;29.7
;WK082301;Wijk 01 Spoordonk;30.5
;WK082302;Wijk 02 Middelbeers en Westelbeers;29.2
;WK082303;Wijk 03 Oostelbeers;28.6
GM0824;Totaal;Oisterwijk;31.1
;WK082401;Verspr.h. westen en noorden Moerg.;29.9
;WK082402;Pannenschuur;28.4
;WK082403;Heukelom;24.7
;WK082404;Buitengebied (Zuid);31.5
;WK082405;Omgeving Vinkenberg / Heuvelstraat;31
;WK082406;Omgeving George Perklaan;37.2
;WK082407;Centrum Moergestel;30.2
;WK082408;'t Westend / 't Seuverick;25.1
;WK082409;Bunders / Levenskerk;41.1
;WK082410;Buitengebied Kerkhoven;30.5
;WK082411;Waterhoef / Klompven;29.2
;WK082412;Omgeving Industrieterr. Kerckhoven Laara;34.7
;WK082413;Centrum Oisterwijk;31.1
;WK082414;Verspr.h. oosten en zuiden Moerg.;.
;WK082415;Omgeving Broekzijde;29.5
;WK082416;Buitengebied Pannenschuur;.
;WK082417;Buitengebied Laarakkers;.
;WK082418;KVL;35.1
;WK082419;Sportpark Den Donk e.o.;.
;WK082420;Haaren;30.6
GM0826;Totaal;Oosterhout;27.8
;WK082600;Wijk 00 Oosterhout-Centrum;27.7
;WK082601;Wijk 01 Slotjes;26.3
;WK082602;Wijk 02 West;29.6
;WK082603;Wijk 03 Strijen;24.8
;WK082604;Wijk 04 Leijsenakkers;32.5
;WK082605;Wijk 05 Oosterheide;23.7
;WK082606;Wijk 06 Dommelbergen;27
;WK082607;Wijk 07 Vrachelen;33.2
;WK082608;Wijk 08 Industrieterrein Zuid;25.3
;WK082609;Wijk 09 Industrieterrein Noord;.
;WK082610;Wijk 10 Buitengebied Oosterhout;32.7
;WK082611;Wijk 11 Den Hout;31.4
;WK082612;Wijk 12 Oosteind;31
;WK082613;Wijk 13 Dorst;31
GM0828;Totaal;Oss;26.8
;WK082800;Centrum;25.5
;WK082801;Schadewijk;24.4
;WK082802;Industrieterreinen-Zuid;30.4
;WK082803;Oss-Zuid;28.4
;WK082804;Krinkelhoek;27
;WK082805;Industrieterreinen-Noord;26.5
;WK082806;Ruwaard;23.8
;WK082807;Ussen;27.9
;WK082808;Buitengebied-Noord;25.9
;WK082809;Buitengebied-Zuid;35.3
;WK082810;Berghem;28.1
;WK082811;Haren;27.5
;WK082812;Macharen;25.8
;WK082813;Megen;27.3
;WK082814;Ravenstein;28.4
;WK082815;Herpen;26.7
;WK082816;Overlangel;32.4
;WK082817;Deursen en Dennenburg;30.6
;WK082818;Lith;27.3
;WK082819;Lithoijen;29.9
;WK082820;Oijen;28.8
;WK082821;Maren-Kessel;29.7
;WK082822;Geffen;27.9
GM0840;Totaal;Rucphen;26.1
;WK084000;Wijk 00 Rucphen;27.3
;WK084001;Wijk 01 Sint Willebrord;24.7
;WK084002;Wijk 02 Sprundel;26.8
;WK084003;Wijk 03 Schijf;27.4
;WK084004;Wijk 04 Zegge;27.5
GM0845;Totaal;Sint-Michielsgestel;30
;WK084500;Wijk 00 Sint-Michielsgestel;30.3
;WK084501;Wijk 01 Gemonde;30.6
;WK084502;Wijk 02 Den Dungen;29.8
;WK084503;Wijk 03 Berlicum;29.6
;WK084504;Wijk 04 Middelrode;29.7
GM0847;Totaal;Someren;26.9
;WK084700;Wijk 00 Someren;26.6
;WK084701;Wijk 01 Lierop;28.5
;WK084702;Wijk 02 Someren-Eind;26.6
;WK084703;Wijk 03 Somerense Heide;27.4
;WK084709;Wijk 09;.
GM0848;Totaal;Son en Breugel;31.8
;WK084800;Wijk 00 Son;33.7
;WK084801;Wijk 01 Breugel;26.8
GM0851;Totaal;Steenbergen;27
;WK085100;Wijk 00 Steenbergen;26.7
;WK085101;Wijk 01 Kruisland;28.8
;WK085102;Wijk 02 De Heen;26.7
;WK085103;Wijk 03 Dinteloord;26.5
;WK085104;Wijk 04 Nieuw-Vossemeer;27.9
GM0852;Totaal;Waterland;31.6
;WK085200;Wijk 00 Monnickendam;29.5
;WK085201;Wijk 01 Katwoude;33.4
;WK085202;Wijk 02 Marken;30.6
;WK085203;Wijk 03 Broek in Waterland;37.3
;WK085204;Wijk 04 Ilpendam;32.5
;WK085205;Wijk 05 Watergang;34.7
GM0855;Totaal;Tilburg;25.7
;WK085510;Binnenstad;27.7
;WK085511;Hoogvenne;29.9
;WK085512;Armhoef;33.1
;WK085513;Jeruzalem;25.6
;WK085514;Fatima;26.8
;WK085515;Broekhoven;21.9
;WK085516;Oerle;22.1
;WK085517;Korvel;23
;WK085518;Trouwlaan - Uitvindersbuurt;21.9
;WK085519;Sint Anna;24.9
;WK085520;Noordhoek;29
;WK085521;Spoorzone Zuid;21
;WK085522;Bouwmeester;24.7
;WK085523;De Hasselt;21.8
;WK085524;Het Goirke;24.2
;WK085525;Groeseind-Hoefstraat;24.2
;WK085526;Loven-Besterd;24.4
;WK085527;Theresia;25.5
;WK085528;Spoorzone Noord;36.7
;WK085529;Kanaalzone;23.6
;WK085530;Moerenburg;.
;WK085531;De Leij;30.8
;WK085532;Groenewoud;19.9
;WK085533;Stappegoor;33.3
;WK085534;Bedrijventerrein Het Laar;48.9
;WK085535;De Blaak;36.3
;WK085536;Zorgvlied;30.9
;WK085537;De Reit;24.5
;WK085538;Het Zand;20.9
;WK085539;Wandelbos Noord;17.4
;WK085540;Wandelbos Zuid;31.2
;WK085541;De Oude Warande;.
;WK085542;Stokhasselt;18
;WK085543;Heikant;20.1
;WK085544;Quirijnstok;25.6
;WK085545;Ind.terrein Loven;26.9
;WK085546;Bosscheweg;37.1
;WK085547;Gesworen Hoek;23
;WK085548;Huibeven;27.6
;WK085549;Campenhoef;29.2
;WK085550;Heyhoef;21.3
;WK085551;Heerevelden;28.8
;WK085552;Dongewijk;28.1
;WK085553;Tuindorp De Kievit;29.5
;WK085554;Leeuwerik;29.8
;WK085555;Dalem Noord;27.4
;WK085556;Dalem Zuid;27.9
;WK085557;Koolhoven;29.8
;WK085558;Witbrant;30.1
;WK085559;Bedrijventerrein Kraaiven;.
;WK085560;Bedrijventerrein Vossenberg;28.7
;WK085561;De Katsbogten;.
;WK085562;Buitengebied Tilburg Zuid-Oost;.
;WK085563;Buitengebied Tilburg Zuid-West;32.5
;WK085564;Buitengebied Tilburg Noord-Oost;26.4
;WK085565;Buitengebied Tilburg Noord-West;.
;WK085566;Berkel-Enschot;31.6
;WK085567;Udenhout;29.6
;WK085568;Biezenmortel;29.8
GM0858;Totaal;Valkenswaard;28.2
;WK085800;Wijk 00 Valkenswaard;28.2
;WK085801;Wijk 01 Kloosterakkers en Dommelen;27.7
;WK085802;Wijk 02 Borkel en Schaft;31.9
GM0861;Totaal;Veldhoven;30.6
;WK086100;Wijk 00 Veldhoven;29
;WK086101;Wijk 01 Noordelijk Woongebied;31.9
;WK086102;Wijk 02 Oerle;36.8
GM0865;Totaal;Vught;33.2
;WK086500;Wijk 00 Vught;38.7
;WK086501;Wijk 01 Vught-Zuid;28.2
;WK086502;Wijk 02 Cromvoirt;35.4
;WK086503;Wijk 03 Helvoirt;30.8
GM0866;Totaal;Waalre;34.3
;WK086600;Wijk 00 Waalre;34.3
GM0867;Totaal;Waalwijk;26.6
;WK086700;Waalwijk;26.2
;WK086701;Sprang-Capelle;27.3
;WK086702;Waspik;27.4
GM0873;Totaal;Woensdrecht;27.2
;WK087300;Wijk 00 Hoogerheide en Woensdrecht;27.2
;WK087301;Wijk 01 Huijbergen;30.8
;WK087302;Wijk 02 Ossendrecht;27.3
;WK087303;Wijk 03 Putte;25.2
GM0879;Totaal;Zundert;27.6
;WK087900;Wijk 00 Zundert;26.1
;WK087901;Wijk 01 Klein - Zundert;30.9
;WK087902;Wijk 02 Wernhout;27
;WK087903;Wijk 03 Achtmaal;26.5
;WK087904;Wijk 04 Rijsbergen;29
GM0880;Totaal;Wormerland;28.7
;WK088000;Wijk 00 Wormer;28.1
;WK088001;Wijk 01 Wijdewormer;31.1
;WK088002;Wijk 02 Jisp;33.4
GM0882;Totaal;Landgraaf;25.7
;WK088200;Wijk 00 Schaesberg;25.8
;WK088201;Wijk 01 Nieuwenhagen;25.9
;WK088202;Wijk 02 Ubach over Worms;25.4
GM0888;Totaal;Beek;28.4
;WK088800;Wijk 00 Beek - Spaubeek;28.2
;WK088801;Wijk 01 Beek-Zuid;30
GM0889;Totaal;Beesel;25.1
;WK088900;Wijk 00 Reuver;24.3
;WK088901;Wijk 01 Beesel;29.1
GM0893;Totaal;Bergen (L.);25.5
;WK089301;Aijen;29.6
;WK089302;Oud-Bergen;28.8
;WK089303;Nieuw-Bergen;24.9
;WK089304;Afferden;26
;WK089305;Siebengewald;24.8
;WK089306;Well;25.4
;WK089307;Wellerlooi;26.3
GM0899;Totaal;Brunssum;24.5
;WK089901;Wijk 01 Brunssum-West;25.6
;WK089902;Wijk 02 Brunssum-Noord;23
;WK089903;Wijk 03 Brunssum-Oost;21.4
;WK089904;Wijk 04 Brunssum-Zuid;25.7
;WK089905;Wijk 05 Brunssum-Centrum;26.1
GM0907;Totaal;Gennep;26.4
;WK090700;Wijk 00 Milsbeek;29.4
;WK090701;Wijk 01 Ottersum;27
;WK090702;Wijk 02 Ven-Zelderheide;26.8
;WK090703;Wijk 03 Gennep;25.3
;WK090704;Wijk 04 Heijen;26.3
GM0917;Totaal;Heerlen;24.2
;WK091710;Wijk 10 Maria Gewanden en Terschuren;24.2
;WK091711;Wijk 11 Mariarade;24.7
;WK091712;Wijk 12 Hoensbroek-De Dem;21.5
;WK091713;Wijk 13 Nieuw Lotbroek;22.5
;WK091714;Wijk 14 De Koumen;26.5
;WK091720;Wijk 20 Vrieheide-De Stack;20
;WK091721;Wijk 21 Heerlerheide-Passart;20
;WK091722;Wijk 22 Heksenberg;23.6
;WK091723;Wijk 23 De Hei;.
;WK091724;Wijk 24 Rennemig-Beersdal;22.2
;WK091730;Wijk 30 Zeswegen-Nieuw Husken;21.5
;WK091731;Wijk 31 Schandelen-Grasbroek;22.9
;WK091732;Wijk 32 Meezenbroek-Schaesbergerveld;20.9
;WK091733;Wijk 33 Heerlen-Centrum;28.2
;WK091734;Wijk 34 Eikenderveld;21.9
;WK091735;Wijk 35 Woonboulevard-Ten Esschen;32.4
;WK091736;Wijk 36 Welten-Benzenrade;33
;WK091737;Wijk 37 Bekkerveld;29.9
;WK091738;Wijk 38 Caumerveld-Douve Weien;33.2
;WK091739;Wijk 39 Molenberg;22.7
;WK091740;Wijk 40 Heerlerbaan-Centrum;20.4
;WK091741;Wijk 41 Heerlerbaan-Schil;29.9
;WK091742;Wijk 42 De Beitel;.
GM0928;Totaal;Kerkrade;23.7
;WK092800;Wijk 00 Kerkrade-West;23.7
;WK092801;Wijk 01 Kerkrade-Oost;23.1
;WK092802;Wijk 02 Kerkrade-Noord;24.8
GM0935;Totaal;Maastricht;26.5
;WK093500;Wijk 00 Centrum;29.6
;WK093501;Wijk 01 Buitenwijk Zuidwest;39.4
;WK093502;Wijk 02 Buitenwijk West;22.6
;WK093503;Wijk 03 Buitenwijk Noordwest;24.5
;WK093504;Wijk 04 Buitenwijk Oost;25.6
;WK093505;Wijk 05 Buitenwijk Noordoost;26.9
;WK093506;Wijk 06 Buitenwijk Zuidoost;26.7
GM0938;Totaal;Meerssen;30.2
;WK093800;Wijk 00 Meerssen;28.4
;WK093801;Wijk 01 Ulestraten;31.4
;WK093802;Wijk 02 Bunde - Geulle;31.5
GM0944;Totaal;Mook en Middelaar;31.7
;WK094400;Wijk 00 Mook;31.8
;WK094401;Wijk 01 Middelaar;30.8
GM0946;Totaal;Nederweert;27
;WK094601;Wijk 01 Nederweert;26.8
;WK094602;Wijk 02 Budschop;28.2
;WK094603;Wijk 03 Ospel;26.5
;WK094604;Wijk 04 Nederweert-Eind;27.9
;WK094605;Wijk 05 Leveroy;26.1
GM0957;Totaal;Roermond;26.4
;WK095700;Wijk 00 Centrum;31.7
;WK095701;Wijk 01 Roermond-Oost;22.5
;WK095702;Wijk 02 Roermond-Zuid;24
;WK095703;Wijk 03 Maasniel;26.6
;WK095704;Wijk 04 Donderberg;18.6
;WK095705;Wijk 05 Hoogvonderen;24.9
;WK095706;Wijk 06 Asenray;29.3
;WK095707;Wijk 07 Herten;31.6
;WK095708;Wijk 08 Swalmen;25.9
;WK095709;Wijk 09 Maasplassen;28.3
GM0965;Totaal;Simpelveld;26.5
;WK096500;Wijk 00 Simpelveld;27.1
;WK096501;Wijk 01 Bocholtz;25.9
GM0971;Totaal;Stein;27.4
;WK097100;Wijk 00 Stein;26.4
;WK097101;Wijk 01 Elsloo;28.3
;WK097102;Wijk 02 Urmond;28.1
GM0981;Totaal;Vaals;25.5
;WK098100;Wijk 00 Vijlen-Lemiers;28
;WK098101;Wijk 01 Vaals;24.6
GM0983;Totaal;Venlo;25
;WK098311;Wijk 11 Venlo-Centrum;28.3
;WK098312;Wijk 12 Venlo-Zuid;24.2
;WK098313;Wijk 13 Venlo-Oost-Noord;29.1
;WK098314;Wijk 14 Venlo-Noord;22.7
;WK098315;Wijk 15 Venlo-Oost-Zuid;25.4
;WK098316;Wijk 16 Het Ven;30.6
;WK098321;Wijk 21 Blerick-Midden;22.3
;WK098322;Wijk 22 Blerick-Noord;19.7
;WK098323;Wijk 23 Blerick-Zuid;21.2
;WK098324;Wijk 24 Vossener;21.9
;WK098325;Wijk 25 Klingerberg;22.4
;WK098326;Wijk 26 Hout-Blerick;31.9
;WK098327;Wijk 27 Boekend;27.7
;WK098328;Wijk 28 Trade-Port;28.4
;WK098331;Wijk 31 Tegelen-Centrum;25.3
;WK098332;Wijk 32 Op de Hei;21.8
;WK098335;Wijk 35 Steyl;26.3
;WK098341;Wijk 41 Velden;26.8
;WK098343;Wijk 43 Lomm;25.6
;WK098344;Wijk 44 Arcen;28
;WK098351;Wijk 51 Belfeld;24.5
GM0984;Totaal;Venray;26.6
;WK098401;Heide;28.9
;WK098402;Ysselsteyn;27
;WK098403;Merselo;27.3
;WK098404;Vredepeel;26.1
;WK098405;Smakt;30.2
;WK098406;Oostrum;27.4
;WK098407;Oirlo;28
;WK098408;Castenray;25.9
;WK098409;Veulen;27.6
;WK098410;Leunen;27.6
;WK098411;Centrum;28.8
;WK098412;Oost;28
;WK098413;West;23.3
;WK098414;Vlakwater;41.1
;WK098415;Veltum;28.1
;WK098416;Brukske;18.9
;WK098417;Landweert;25.5
;WK098418;Smakterheide;28.6
;WK098419;Brabander;32.3
;WK098420;St. Antoniusveld;29.8
;WK098421;Wanssum;26.3
;WK098422;Geijsteren;27.4
;WK098423;Blitterswijck;26.2
GM0986;Totaal;Voerendaal;29.2
;WK098601;Wijk 01 Voerendaal;26.8
;WK098602;Wijk02 Kunrade;30.6
;WK098603;Wijk 03 Ubachsberg;27.8
;WK098604;Wijk 04 Klimmen;30.1
;WK098605;Wijk 05 Ransdaal;29
;WK098609;Wijk 09 Verspreide huizen Voerendaal;33.5
GM0988;Totaal;Weert;27
;WK098801;Wijk 01 Boshoven;27.6
;WK098802;Wijk 02 Laar en Hushoven;31.1
;WK098803;Wijk 03 Molenakker en Kampershoek;31.8
;WK098811;Wijk 11 Weert-Centrum;27.8
;WK098812;Wijk 12 Biest;26.3
;WK098813;Wijk 13 Groenewoud;23.1
;WK098814;Wijk 14 Fatima;25.4
;WK098821;Wijk 21 Keent;22.6
;WK098822;Wijk 22 Moesel;25
;WK098823;Wijk 23 Graswinkel;26.8
;WK098824;Wijk 24 Leuken;26.3
;WK098825;Wijk 25 Kazernelaan;39.4
;WK098831;Wijk 31 Altweerterheide;28.8
;WK098832;Wijk 32 Tungelroy;28.2
;WK098833;Wijk 33 Swartbroek;28.7
;WK098834;Wijk 34 Stramproy;26.2
GM0994;Totaal;Valkenburg aan de Geul;28.7
;WK099400;Wijk 00: Valkenburg;28
;WK099401;Wijk 01: Houthem - Sint Gerlach;29.9
;WK099402;Wijk 02: Schin op Geul - Oud-Valkenburg;28.4
;WK099403;Wijk 03: Sibbe - IJzeren;28.8
;WK099404;Wijk 04: Berg en Terblijt - Vilt;29.6
;WK099405;Wijk 05: Walem;29.2
GM0995;Totaal;Lelystad;25.3
;WK099501;Zuiderzeewijk;20.9
;WK099502;Atolwijk;22.5
;WK099503;Boswijk;24.2
;WK099504;Waterwijk-Landerijen;26.4
;WK099505;Bolder;21.3
;WK099506;Kustwijk;27.9
;WK099507;Havendiep;26.8
;WK099508;Lelystad-Haven;31.3
;WK099509;Stadshart;25.9
;WK099510;Buitengebied;28.9
;WK099511;Warande;27.2
GM1507;Totaal;Horst aan de Maas;26.7
;WK150700;Wijk 00 Griendtsveen;26.7
;WK150701;Wijk 01 America;25.7
;WK150702;Wijk 02 Meterik;26.9
;WK150703;Wijk 03 Hegelsom;27.7
;WK150704;Wijk 04 Horst;26.6
;WK150705;Wijk 05 Melderslo;26.2
;WK150706;Wijk 06 Broekhuizen;26.5
;WK150707;Wijk 07 Lottum;27.3
;WK150708;Wijk 08 Grubbenvorst;27.4
;WK150709;Wijk 09 Broekhuizen;27
;WK150710;Wijk 10 Sevenum;26.9
;WK150711;Wijk 11 Kronenberg;27.5
;WK150712;Wijk 12 Evertsoord;24
;WK150713;Wijk 13 Meerlo;26.1
;WK150714;Wijk 14 Tienray;24.8
;WK150715;Wijk 15 Swolgen;26.6
GM1509;Totaal;Oude IJsselstreek;24.3
;WK150900;Wijk 00 Ulft-Etten;24.1
;WK150901;Wijk 01 Overig Gendringen;24.3
;WK150902;Wijk 02 Silvolde-Terborg;23.5
;WK150903;Wijk 03 Varsseveld;25.7
GM1525;Totaal;Teylingen;32.2
;WK152501;Voorhout Oude Dorp;28.4
;WK152502;Voorhout Oosthout;34.3
;WK152503;Voorhout Hooghkamer;32.3
;WK152504;Voorhout Buiten;32.5
;WK152511;Sassenheim Midden;32.2
;WK152512;Sassenheim Oost;28.1
;WK152513;Sassenheim Zuid;39.3
;WK152514;Sassenheim West;33.3
;WK152515;Sassenheim buiten;.
;WK152521;Warmond;35.8
;WK152522;Warmond buiten;34.9
GM1581;Totaal;Utrechtse Heuvelrug;33
;WK158100;Doorn;35.3
;WK158101;Driebergen;33.4
;WK158102;Leersum;31
;WK158103;Amerongen;28.7
;WK158104;Maarn;35.1
GM1586;Totaal;Oost Gelre;26.2
;WK158601;Wijk 01 Lichtenvoorde;26
;WK158602;Wijk 02 Harreveld;26.5
;WK158603;Wijk 03 Zieuwewnt;26.3
;WK158604;Wijk 04 Lievelde;27.4
;WK158605;Wijk 05 Vragender;26.8
;WK158606;Wijk 06 Groenlo;26.2
;WK158607;Wijk 07 Marienvelde;24.6
GM1598;Totaal;Koggenland;27.4
;WK159801;Obdam;27.1
;WK159802;Hensbroek;28.1
;WK159803;Spierdijk;28.1
;WK159804;Zuidermeer;28.2
;WK159805;Berkhout;28.5
;WK159806;Ursem;27.8
;WK159807;De Goorn;25.9
;WK159808;Avenhorn;27.1
;WK159809;Scharwoude;29
;WK159810;Oudendijk;31.4
GM1621;Totaal;Lansingerland;31.9
;WK162111;Wijk 11 Bergschenhoek;26.6
;WK162112;Wijk 12 De Ackers;34.6
;WK162113;Wijk 13 Boterdorp;31.6
;WK162114;Wijk 14 Wilderszijde;39.4
;WK162115;Wijk 15 Oosteindsche Polder;35.2
;WK162121;Wijk 21 Berkel;27.8
;WK162122;Wijk 22 Noordpolder;29.3
;WK162123;Wijk 23 Meerpolder;31.1
;WK162124;Wijk 24 Noordeinde;34.8
;WK162125;Wijk 25 Zuidpolder;31.5
;WK162126;Wijk 26 De Wadden;36.3
;WK162127;Wijk 27 Westpolder;37.8
;WK162128;Wijk 28 Rodenrijs;36.2
;WK162131;Wijk 31 Bleiswijk;29.4
;WK162132;Wijk 32 Hoekeindse Zoom;29.9
;WK162133;Wijk 33 Bleiswijk Buiten;35.1
GM1640;Totaal;Leudal;27.6
;WK164000;Heythuysen;27.5
;WK164001;Heibloem;28.3
;WK164002;Roggel;28.1
;WK164003;Neer;26.4
;WK164004;Nunhem;26.1
;WK164005;Haelen;26.9
;WK164006;Buggenum;28
;WK164007;Horn;29.3
;WK164008;Baexem;27.3
;WK164009;Kelpen-Oler;27.6
;WK164010;Grathem;28.6
;WK164011;Ell;27.5
;WK164012;Haler;28.2
;WK164013;Hunsel;29.1
;WK164014;Neeritter;26.3
;WK164015;Ittervoort;27.7
GM1641;Totaal;Maasgouw;28.4
;WK164100;Wijk 00 Maasbracht;27.2
;WK164101;Wijk 01 Linne;28.7
;WK164102;Wijk 02 Stevensweert;28.8
