Gemeentecode;Wijkcode;Regionaam;Gemiddeld persoonlijk inkomen
;WK016305;Wijk 05 Buitengebied;27.1
;WK016306;Wijk 06 Kruidenwijk;25.6
;WK016307;Wijk 07 Haarle;24.3
;WK016308;Wijk 08 Daarle;22.9
;WK016309;Wijk 09 Daarlerveen;23.2
GM0164;Totaal;Hengelo;26
;WK016400;Wijk 00 Binnenstad;29.2
;WK016401;Wijk 01 Hengelose Es;24.6
;WK016402;Wijk 02 Noord;22.3
;WK016403;Wijk 03 Hasseler Es;25.3
;WK016404;Wijk 04 Groot Driene;25
;WK016405;Wijk 05 Berflo Es;23.5
;WK016406;Wijk 06 Wilderinkshoek;26.6
;WK016407;Wijk 07 Woolde;28
;WK016408;Wijk 08 Slangenbeek;30.5
;WK016409;Wijk 09 Buitengebied;30.5
GM0166;Totaal;Kampen;24.1
;WK016600;Kampen;24
;WK016602;Reeve;.
;WK016603;IJsselmuiden;24.1
;WK016604;Zalk;24.2
;WK016605;Wilsum;25.1
;WK016606;Grafhorst;23.6
;WK016607;Kamperveen;23.3
;WK016608;s-Heerenbroek;26.4
;WK016609;Mastenbroek;26.4
GM0168;Totaal;Losser;25
;WK016800;Wijk 00 Losser;25.1
;WK016801;Wijk 01 Glane;26.5
;WK016802;Wijk 02 Overdinkel;22
;WK016803;Wijk 03 De Lutte;26.9
;WK016804;Wijk 04 Beuningen;27.6
GM0171;Totaal;Noordoostpolder;24.6
;WK017101;Wijk 01 Emmeloord;23.9
;WK017102;Wijk 02 Bant;25
;WK017103;Wijk 03 Luttelgeest;27.4
;WK017104;Wijk 04 Marknesse;25.7
;WK017105;Wijk 05 Kraggenburg;28.4
;WK017106;Wijk 06 Ens;24.7
;WK017107;Wijk 07 Nagele;24.4
;WK017108;Wijk 08 Tollebeek;23.6
;WK017109;Wijk 09 Espel;26.8
;WK017110;Wijk 10 Creil;25.9
;WK017111;Wijk 11 Rutten;24.8
;WK017112;Wijk 12 Schokland;.
GM0173;Totaal;Oldenzaal;26.2
;WK017301;Wijk 01 Binnenstad;28.2
;WK017302;Wijk 02 Het Inslag-De Kleies;27.2
;WK017303;Wijk 03 Glinde-Hooiland;23.4
;WK017304;Wijk 04 De Meijbree;28.8
;WK017305;Wijk 05 Haerbroek-Scholtenhoek;34.8
;WK017306;Wijk 06 Zuid-Berghuizen;22.5
;WK017307;Wijk 07 Hanzepoort;.
;WK017308;Wijk 08 Eekte-Hazewinkel;24.7
;WK017309;Wijk 09 Jufferbeek;.
;WK017310;Wijk 10 Het Hulsbeek;28.4
;WK017311;Wijk 11 De Thij;22.7
;WK017312;Wijk 12 De Graven Es;29.2
;WK017313;Wijk 13 De Essen;26.6
;WK017314;Wijk 14 Bekspring;27.1
GM0175;Totaal;Ommen;25.8
;WK017501;Ommen;26
;WK017502;Arrien;27.9
;WK017503;Beerze;26.4
;WK017504;Beerzerveld;22.5
;WK017505;Dalmsholte;24.4
;WK017506;Giethmen;29.6
;WK017507;Lemele;25.2
;WK017508;Stegeren;27.1
;WK017509;Vilsteren;23.7
;WK017510;Vinkenbuurt;28
;WK017511;Witharen;26
GM0177;Totaal;Raalte;25.9
;WK017701;Raalte;25.5
;WK017702;Luttenberg;25.7
;WK017703;Mariënheem;25.9
;WK017704;Nieuw Heeten;25
;WK017705;Heeten;25.8
;WK017706;Broekland;28.3
;WK017707;Heino;26.5
;WK017708;Lierderholthuis;28
;WK017709;Laag Zuthem;29.2
GM0180;Totaal;Staphorst;22.7
;WK018000;Wijk 00 Staphorst (kern);21.8
;WK018001;Wijk 01 Rouveen (kern);22.6
;WK018002;Wijk 02 Rouveen (buitengebied);22.6
;WK018003;Wijk 03 Staphorst (buitengebied);22
